date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:51	55204/55204	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2002:50:29%20GMT	http://www.w3schools.com/sql/sql_datatypes.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_datatypes.html	(from http://www.w3schools.com/sql/)
10:04:51	40384/40384	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:26:42%20GMT	http://www.w3schools.com/sql/sql_functions.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_functions.html	(from http://www.w3schools.com/sql/)
10:04:52	41388/41388	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:37:01%20GMT	http://www.w3schools.com/sql/sql_func_avg.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_avg.html	(from http://www.w3schools.com/sql/)
10:04:52	42252/42252	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:34:26%20GMT	http://www.w3schools.com/sql/sql_func_count.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_count.html	(from http://www.w3schools.com/sql/)
10:04:53	42585/42585	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2008:28:45%20GMT	http://www.w3schools.com/sql/sql_func_first.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_first.html	(from http://www.w3schools.com/sql/)
10:04:53	42576/42576	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:22:33%20GMT	http://www.w3schools.com/sql/sql_func_last.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_last.html	(from http://www.w3schools.com/sql/)
10:04:53	40921/40921	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:32:02%20GMT	http://www.w3schools.com/sql/sql_func_max.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_max.html	(from http://www.w3schools.com/sql/)
10:04:54	40927/40927	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:46:10%20GMT	http://www.w3schools.com/sql/sql_func_min.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_min.html	(from http://www.w3schools.com/sql/)
10:04:54	40615/40615	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:12:56%20GMT	http://www.w3schools.com/sql/sql_func_sum.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_func_sum.html	(from http://www.w3schools.com/sql/)
10:04:55	42815/42815	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:31:53%20GMT	http://www.w3schools.com/sql/sql_groupby.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_groupby.html	(from http://www.w3schools.com/sql/)
